"";"TA";"doc";"url";"page";"term";"portfolio";"context"
"2462";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=2";"2";"early access";"0";"                                         venetoclax was designated a promising innovative                                          medicine and was available to patients in the NHS                                          through the early access to medicines scheme.   Adverse reactions                      There is a risk of tumour lysis syndrome during the                                          initial 5-week dose-titration phase of treatment"
"2465";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=2";"2";"early access to medicines";"0";"                                         venetoclax was designated a promising innovative                                          medicine and was available to patients in the NHS                                          through the early access to medicines scheme.   Adverse reactions                      There is a risk of tumour lysis syndrome during the                                          initial 5-week dose-titration phase of treatment"
"2468";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=2";"2";"managed access";"0";"                                         development was that AbbVie had agreed a patient                                          access scheme with the Department of Health. The                                          managed access agreement agreed in August 2017                                          replaced this patient access scheme. As part of the                                          managed access agreement, the company has a"
"2469";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=2";"2";"managed access";"0";"                                         managed access agreement agreed in August 2017                                          replaced this patient access scheme. As part of the                                          managed access agreement, the company has a                                          commercial access agreement with NHS England.                                          This makes venetoclax available at a reduced cost."
"2470";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=20";"20";"managed access";"0";"                    progressed after both chemo-immunotherapy and a B-cell receptor                     pathway inhibitor and                <U+F0B7> only if the conditions in the managed access agreements are followed. . National Institute for Health and Care Excellence                                 Page 20 of 33"
"2464";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=23";"23";"early access";"0";"  significant and                 conditional marketing authorisation was   substantial impact              granted, venetoclax was available to patients   on health-related               in the NHS through the early access to   benefits?                       medicines scheme. The committee heard from                                   the patient expert that they valued the fact that"
"2471";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=31";"31";"managed access";"0";"5.1            When NICE recommends a treatment as an option for use within the                Cancer Drugs Fund, NHS England will make it available according to the                conditions in the managed access agreement. This means that, if a                patient has chronic lymphocytic leukaemia and the doctor responsible for                their care thinks that venetoclax is the right treatment, it should be"
"2472";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=31";"31";"managed access";"0";"               their care thinks that venetoclax is the right treatment, it should be                available for use, in line with NICE's recommendations and the Cancer                Drugs Fund criteria in the managed access agreement. Further                information can be found in NHS England's Appraisal and funding of                cancer drugs from July 2016 (including the new Cancer Drugs Fund) – A"
"2473";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=32";"32";"managed access";"0";"                                                                 CONFIDENTIAL UNTIL PUBLISHED                Appraisal Determination or agreement of a Managed Access Agreement                by the NHS in Wales whichever is the latter. 5.3            Venetoclax has been recommended according to the conditions in the"
"2474";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=32";"32";"managed access";"0";"               by the NHS in Wales whichever is the latter. 5.3            Venetoclax has been recommended according to the conditions in the                managed access agreement. As part of this, NHS England and AbbVie                have a commercial access agreement that makes venetoclax available to                the NHS at a reduced cost. The financial terms of the agreement are"
"2475";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=32";"32";"managed access";"0";"               details at time of publication] 6              Recommendations for data collection 6.1            As a condition of the positive recommendation and the managed access                agreement, data on time on treatment, overall survival and baseline                characteristics of people taking venetoclax will be collected via the"
"2476";"TA487";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA487/documents/final-appraisal-determination-document#page=32";"32";"managed access";"0";"7.1            The guidance recommendation for this technology will be reviewed when                the results of the data collection arrangement agreed by the company and                NHS England as part of the managed access agreement are available                (December 2020).                Andrew Stevens"
"2477";"TA488";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA488/documents/committee-papers#page=13";"13";"managed access";"0";"Confidential     Clinical expert submission: There is a UK experience of managed access program for regorafenib     which confirmed treatment is well tolerated and side effects manageable in majority of patients     (Kollar et al 2014) although some patients (55% in case series) did need dose reduction"
"2478";"TA488";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA488/documents/committee-papers#page=309";"309";"managed access";"0";" (44) Kollar A, Maruzzo M, Messiou C, Cartwright E, Miah A, Martin-Liberal J, et al.        Regorafenib treatment for advanced, refractory gastrointestinal stromal tumor:        a report of the UK managed access program. Clin Sarcoma Res 2014;4:17.  (45) Son MK, Ryu M, Park J, Im S, Ryoo B, Park S, et al. Efficacy and safety of        regorafenib in Korean patients with advanced gastrointestinal stromal tumor"
"2482";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=108";"108";"expanded access";"0";"syndrome laBCC, with a response rate of 87.1% (95% CI 79 to 93; n=85 evaluable for efficacy). (31) EAS: The Expanded Access Study assessed efficacy and safety of vismodegib, and provided early drug access to patients with aBCC and limited treatment options (N=119). Vismodegib demonstrated substantial clinical effect in patients with locally advanced BCC"
"2483";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=108";"108";"expanded access";"0";"laBCC and 30.8% of patients with mBCC. Efficacy outcomes were observed despite the limitations of the study: the study was halted when the US FDA granted marketing approval to vismodegib (as per study design in this expanded access program).(32) Phase I SHH3925g: Patients (N=68) with solid tumours refractory to standard therapy were recruited into this open-label mulitcentre, two-stage phase I trial, 33 of whom had aBCC."
"2484";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=145";"145";"expanded access";"0";"NCT00607724 study, 18 publications reported the STEVIE study (NCT01367665), seven publications reported the ERIVANCE study (NCT00833417), one publication reported the Expanded Access Study (EAS, NCT01160250), one study reported both ERIVANCE and EAS, and 11 publications reported the RegiSONIC Disease Registry study (NCT01604252). A summary of these five studies is presented in Table 12. Further details of these five"
"2479";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=174";"174";"compassionate";"0";"phase I Study SHH3925g, which demonstrated significant anti-tumour activity of vismodegib in this patient population, with an acceptable benefit-risk profile. Thus, an expanded access program for compassionate use was initiated in the United States to provide vismodegib to patients with locally advanced BCC or mBCC who qualified as having no satisfactory treatment options."
"2485";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=174";"174";"expanded access";"0";"the treatment of advanced BCC had been established at the time this trial was initiated in the phase I Study SHH3925g, which demonstrated significant anti-tumour activity of vismodegib in this patient population, with an acceptable benefit-risk profile. Thus, an expanded access program for compassionate use was initiated in the United States to provide vismodegib to patients with locally advanced BCC or mBCC who qualified as having no satisfactory"
"2486";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=174";"174";"expanded access";"0";"patients with locally advanced BCC or mBCC who qualified as having no satisfactory treatment options. This was an open-label, non-comparative, multicentre, expanded access study of vismodegib in patients with locally advanced BCC or mBCC who were otherwise without satisfactory treatment options."
"2487";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=175";"175";"expanded access";"0";"its approval by the FDA for use in patients with locally advanced BCC or mBCC. Patients already enroled by that date were allowed to receive up to one additional cycle of therapy through this expanded access protocol up to 30 days after vismodegib became commercially available. Eligibility criteria"
"2488";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=177";"177";"expanded access";"0";"Primary and secondary objectives / outcomes Primary objective The primary objective of the expanded access study was to provide vismodegib to patients with locally advanced BCC or mBCC who were otherwise without satisfactory treatment options."
"2489";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=240";"240";"expanded access";"0";"EAS Safety findings for vismodegib 150 mg once daily in patients with locally advanced BCC or mBCC were similar in this expanded access trial to those reported in the pivotal study in patients with advanced BCC. Common AEs associated with vismodegib treatment were predominantly mild to moderate. Among women of childbearing potential (n=8), four patients"
"2490";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=242";"242";"expanded access";"0";"options. Efficacy outcomes were observed despite the limitations of the study: the study was halted when the US FDA granted Marketing Authorisation to vismodegib (as per study design in this expanded access program), CT/MRIs were performed every 8 to 16 weeks apart, and physical examinations were performed every 4 to 8 weeks. Overall findings from the clinical evidence"
"2491";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=247";"247";"expanded access";"0";"among the 18 patients with metastatic tumours was 50% (95% CI, 29 to 71). The response rate in patients with locally advanced disease was 60% (95% CI, 33 to 83).(13) The Expanded Access Study (EAS) sought to assess efficacy and safety of vismodegib in the US, prior to the commercial availability of the drug. A limitation of this study was the abbreviated follow-up (mean 6.5 months) resulting from study termination once FDA"
"2492";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=345";"345";"expanded access";"0";"2016;1):AB202. 32.     Chang ALS, Solomon JA, Hainsworth JD, Goldberg L, McKenna E, Day BM, et al. Expanded access study of patients with advanced basal cell carcinoma treated with the Hedgehog pathway inhibitor, vismodegib. Journal of the American Academy of Dermatology. 2014;70(1):60-9."
"2493";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=350";"350";"expanded access";"0";"TUMORS THAT ARE REFRACTORY TO STANDARD THERAPY OR FOR WHOM NO STANDARD THERAPY EXISTS. 2010 12 November 2010. Report No. 100. Genentech. A SINGLE-ARM, OPEN-LABEL, EXPANDED ACCESS STUDY OF VISMODEGIB IN PATIENTS WITH LOCALLY ADVANCED OR METASTATIC BASAL CELL CARCINOMA. Clinical Study Report. 2013."
"2480";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=506";"506";"compassionate";"0";"cohort of newly diagnosed laBCC patients without BCC-naevus syndrome (i.e. non-Gorlin syndrome patients) and so they represent a subgroup of the laBCC patients eligible for vismodegib. EAS SHH4811g was a phase IV expanded access study to enable the compassionate use of vismodegib in the US prior to vismodegib approval by the FDA. It included both laBCC and mBCC patients but the study was terminated following the granting of the US marketing authorisation for vismodegib."
"2494";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=506";"506";"expanded access";"0";"cohort of newly diagnosed laBCC patients without BCC-naevus syndrome (i.e. non-Gorlin syndrome patients) and so they represent a subgroup of the laBCC patients eligible for vismodegib. EAS SHH4811g was a phase IV expanded access study to enable the compassionate use of vismodegib in the US prior to vismodegib approval by the FDA. It included both laBCC and mBCC patients but the study was terminated following the granting of the US marketing authorisation for vismodegib."
"2481";"TA489";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA489/documents/committee-papers#page=93";"93";"expanded access";"0";"EADO               European Association of Dermato-Oncology EADV               European Academy of Dermatology and Venerology EAS                Expanded Access Study ECOG               Eastern Cooperative Oncology Group EMA                European Medicines Agency"
"2495";"TA490";"committee-papers-2.pdf";"portfoliodocument";"69";"early access";"1";" DOR                duration of response  DSU                Decision Support Unit  EAMS               Early Access to Medicines Scheme  ECOG               Eastern Cooperative Oncology Group  EHNS               European Head and Neck Society"
"2496";"TA490";"committee-papers-2.pdf";"portfoliodocument";"69";"early access to medicines";"1";" DOR                duration of response  DSU                Decision Support Unit  EAMS               Early Access to Medicines Scheme  ECOG               Eastern Cooperative Oncology Group  EHNS               European Head and Neck Society"
"2499";"TA490";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-2#page=1";"1";"managed access";"0";"         Cancer Drugs Fund    Managed Access Agreement    Nivolumab for treating recurrent or metastatic squamous-cell carcinoma of the"
"2500";"TA490";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-2#page=2";"2";"managed access";"0";"           chemotherapy) [ID971] (to be updated with TA number after final guidance            has been published). A positive recommendation within the context of a            managed access agreement has been decided by the appraisal committee. 2          Commencement and period of agreement 2.1        This data collection arrangement shall take effect on publication of the"
"2501";"TA490";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-2#page=2";"2";"managed access";"0";"2          Commencement and period of agreement 2.1        This data collection arrangement shall take effect on publication of the            managed access agreement. The data collection is anticipated to conclude            in September 2019, when it is expected that the 4-year follow-up data will be            available from the pivotal trial CheckMate 141."
"2502";"TA490";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-2#page=3";"3";"managed access";"0";"                                                        CONFIDENTIAL UNTIL PUBLISHED 2.2        As part of the managed access agreement, the technology will continue to            be available via the Cancer Drugs Fund after the data collection period has            ended and while the guidance is being reviewed. This assumes that the data"
"2497";"TA490";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-2#page=4";"4";"early access";"0";"3.3        The average treatment duration for a patient with head and neck cancer is            estimated to be 5.4 months. 3.4        There was no Early Access to Medicines scheme in place for this indication. 4          Area(s) of clinical uncertainty 4.1        Based on the evidence provided by the company during the appraisals, the"
"2498";"TA490";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-2#page=4";"4";"early access to medicines";"0";"3.3        The average treatment duration for a patient with head and neck cancer is            estimated to be 5.4 months. 3.4        There was no Early Access to Medicines scheme in place for this indication. 4          Area(s) of clinical uncertainty 4.1        Based on the evidence provided by the company during the appraisals, the"
"2503";"TA490";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-2#page=4";"4";"managed access";"0";"                                                        CONFIDENTIAL UNTIL PUBLISHED 3.2        The estimated number of nivolumab treated patients within the Cancer            Drugs Fund during the managed access arrangement period is            approximately 80-400 annually (900 over the entire agreement). 3.3        The average treatment duration for a patient with head and neck cancer is"
"2504";"TA490";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-2#page=6";"6";"managed access";"0";"   6.2        Data will be collected via Public Health England’s routine population-wide               datasets, including the SACT dataset. This collection will support data               collected in the clinical trial. During the managed access agreement period,               Public Health England will collect data so as to provide information on overall               survival, duration of therapy and PD-L1 expression (obtained via Blueteq)."
"2505";"TA490";"final-appraisal-determination-document-3.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-3#page=1";"1";"managed access";"0";"                                             Pharmaceutical Price Regulation Scheme                                              (2014)  Managed access agreement                    A Cancer Drugs Fund managed access                                              agreement consists of two components:                                                   ·  The first is a data collection"
"2506";"TA490";"final-appraisal-determination-document-3.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document-3#page=1";"1";"managed access";"0";"                                                      arrangement, which sets out data                                                       that will be collected during the                                                       ‘managed access’ period to resolve                                                       clinical uncertainty                                                   ·  The second is a commercial access"
"2507";"TA490";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document#page=1";"1";"managed access";"0";"              <U+F0B7> nivolumab is stopped at 2 years of uninterrupted treatment, or earlier in                   the event of disease progression, and               <U+F0B7> the conditions in the managed access agreement are followed. 1.2           This recommendation is not intended to affect treatment with nivolumab               that was started in the NHS before this guidance was published. People"
"2508";"TA490";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document#page=2";"2";"managed access";"0";"Nivolumab has the potential to be cost effective, but more evidence is needed to address the clinical uncertainties. It can therefore be recommended for use within the Cancer Drugs Fund while further data are collected as part of a managed access agreement. Collecting further data from people having nivolumab should address the uncertainties about its benefits for longer-term survival and for tumours expressing"
"2510";"TA490";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document#page=22";"22";"managed access";"0";"              use within the Cancer Drugs Fund for SCCHN that has progressed on or               within 6 months of platinum-based chemotherapy only if the conditions of               the managed access agreement are followed. Equalities 3.28          No equality issues were identified."
"2511";"TA490";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document#page=22";"22";"managed access";"0";"4.1           When NICE recommends a treatment as an option for use within the               Cancer Drugs Fund, NHS England will make it available according to the               conditions in the managed access agreement. This means that, if a               patient has squamous cell carcinoma of the head and neck and the doctor               responsible for their care thinks that nivolumab is the right treatment, it"
"2512";"TA490";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document#page=22";"22";"managed access";"0";"              responsible for their care thinks that nivolumab is the right treatment, it               should be available for use, in line with NICE's recommendations and the               Cancer Drugs Fund criteria in the managed access agreement. Further               information can be found in NHS England's Appraisal and funding of               cancer drugs from July 2016 (including the new Cancer Drugs Fund) – A"
"2513";"TA490";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document#page=22";"22";"managed access";"0";"              Fund, the NHS in Wales must usually provide funding and resources for it               within 2 months of the first publication of the final appraisal determination               or agreement of a managed access agreement by the NHS in Wales,               whichever is the latter. 4.3           Nivolumab has been recommended according to the conditions in the"
"2514";"TA490";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document#page=22";"22";"managed access";"0";"              whichever is the latter. 4.3           Nivolumab has been recommended according to the conditions in the               managed access agreement. As part of this, NHS England and Bristol-               Myers Squibb have a commercial access agreement that makes               nivolumab available to the NHS at a reduced cost. The financial terms of"
"2515";"TA490";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document#page=23";"23";"managed access";"0";"              process for exiting the Cancer Drugs Fund will begin at this point and the               review of the NICE guidance will start. 5.2           As part of the managed access agreement, the technology will continue to               be available through the Cancer Drugs Fund after the data collection               period has ended and while the guidance is being reviewed. This"
"2509";"TA490";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA490/documents/final-appraisal-determination-document#page=3";"3";"managed access";"0";"                                       online, [accessed December 2016] and company                                        submission).                                        As part of the managed access agreement, the                                        company (Bristol-Myers Squibb) has a commercial                                        access agreement with NHS England. This makes"
"2516";"TA491";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA491/documents/committee-papers#page=237";"237";"compassionate";"0";"anecdotal evidence and clinician opinion. UK trial centres were involved in all three R/R MCL trials for ibrutinib (with 54 UK patients enrolled across the three trials), a compassionate use programme was in operation between August 2014 to March 2015, with a total of 154 patients benefitting across England. In addition, ibrutinib has been available on the Cancer Drugs fund from January 2015 to the present, with very high uptake. These"
"2517";"TA491";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA491/documents/committee-papers#page=237";"237";"compassionate";"0";"treatment with antineoplastics for R/R MCL. In contrast, the R/R WM trial was carried out only in US trial centres and there has been no compassionate use programme or CDF funding for ibrutinib in WM. While there is currently limited evidence specifically within WM upon which to base this assumption, there is no reason to believe that the same HRQoL benefit for ibrutinib due to the avoidance of"
"2519";"TA491";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA491/documents/committee-papers#page=323";"323";"named-patient";"0";"cyclophosphamide, vincristine and prednisolone; R/R WM – relapsed/refractory Waldenström's macroglobulinemia; HZV herpes zoster virus; CMV – cytomegalovirus; SCT – stem cell transplantation. * Alemtuzumab is now only available on a named-patient basis The ESMO algorithm for the treatment of patients with R/R WM is presented in Figure 2.                                                                                                                    6"
"2518";"TA491";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA491/documents/committee-papers#page=98";"98";"named-patient";"0";"BR - bendamustine + rituximab, FR - fludarabine + rituximab, FCR - fludarabine + cyclophosphamide + rituximab, Clad-R - cladribine + rituximab, SCT - stem cell transplantation, DRC: dexamethasone + rituximab * Alemtuzumab is now only available on a named-patient basis The ESMO guidelines for relapsed WM recommend that an alternative rituximab/chemotherapy regimen should be used if the relapse occurs within the first year,"
"2520";"TA491";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document-2#page=1";"1";"managed access";"0";"     Cancer Drugs Fund Managed Access Agreement  Ibrutinib for treating Waldenstrom’s          macroglobulinaemia"
"2521";"TA491";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document-2#page=2";"2";"managed access";"0";"          NATIONAL INSTITUTE FOR HEALTH AND CARE                                   EXCELLENCE                    Managed Access Agreement - Foreword         Ibrutinib for treating Waldenström’s macroglobulinaemia This Managed Access Agreement (MAA) combines the agreed terms of the Data"
"2522";"TA491";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document-2#page=2";"2";"managed access";"0";"                   Managed Access Agreement - Foreword         Ibrutinib for treating Waldenström’s macroglobulinaemia This Managed Access Agreement (MAA) combines the agreed terms of the Data Collection Arrangement (DCA) and a confidential Commercial Access Agreement (CAA). It allows the entry to the Cancer Drugs Fund (CDF) of ibrutinib for treating"
"2523";"TA491";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document-2#page=4";"4";"managed access";"0";"          responsibilities for further data collection for ibrutinib in the treatment of           Waldenström’s macroglobulinaemia (ID884). A positive recommendation           within the context of a managed access agreement (MAA) has been decided           by the appraisal committee. 2            Commencement and period of agreement"
"2524";"TA491";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document-2#page=5";"5";"managed access";"0";"          data will be available for a re-appraisal after two years of data collection or           whether the full three years are required. This data collection arrangement           shall take effect on publication of the managed access agreement. The data           collection period is anticipated to conclude three years from the date of the           FAD publication or until the jointly-agreed commencement of the re-"
"2525";"TA491";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document-2#page=5";"5";"managed access";"0";"          appraisal, whichever occurs first. The process for exiting the Cancer Drugs           Fund will begin at this point and the review of the NICE guidance will start. 2.2       As part of the managed access agreement, the technology will continue to           be available via the Cancer Drugs Fund after the data collection period has           ended and while the guidance is being reviewed. This assumes that the data"
"2526";"TA491";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document-2#page=9";"9";"managed access";"0";"          (PHE). Janssen will not have access to the SACT patient-level data but will           receive the analysis (SACT report) that PHE produce for NHS England at the           end of the managed access period. 8.2       The SACT dataset is a mandated dataset as part of the Health and Social           Care Information Standards. Individual patient data will remain within PHE"
"2527";"TA491";"final-appraisal-determination-document-3.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document-3#page=1";"1";"managed access";"0";"                                             Pharmaceutical Price Regulation Scheme                                              (2014)  Managed access agreement                    A Cancer Drugs Fund managed access                                              agreement consists of two components:                                                   ·  The first is a data collection"
"2528";"TA491";"final-appraisal-determination-document-3.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document-3#page=1";"1";"managed access";"0";"                                                      arrangement, which sets out data                                                       that will be collected during the                                                       ‘managed access’ period to resolve                                                       clinical uncertainty                                                   ·  The second is a commercial access"
"2529";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=1";"1";"managed access";"0";"               macroglobulinaemia in adults who have had at least 1 prior therapy or as                first-line treatment when chemo-immunotherapy is unsuitable, only if the                conditions in the managed access agreement for ibrutinib are followed. National Institute for Health and Care Excellence                                 Page 1 of 23 Final appraisal determination– Ibrutinib for treating Waldenstrom’s macroglobulinaemia"
"2531";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=12";"12";"managed access";"0";"               it would be able to recommend ibrutinib as an option for use within the                Cancer Drugs Fund for treating Waldenstrom’s macroglobulinaemia                provided that a managed access agreement was in place that allowed                ibrutinib to be used cost-effectively within the Cancer Drugs Fund. The                committee considered what additional data could be collected to resolve"
"2532";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=13";"13";"managed access";"0";"  macroglobulinaemia in adults who have had at least 1 prior therapy or   as first-line treatment when chemo-immunotherapy is unsuitable only   if the conditions in the managed access agreement for ibrutinib are   followed. National Institute for Health and Care Excellence                                 Page 13 of 23"
"2533";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=14";"14";"managed access";"0";"  concluded that it would be able to recommend ibrutinib as an option   for use within the Cancer Drugs Fund for treating Waldenstrom’s   macroglobulinaemia provided that a managed access agreement was   in place that allowed ibrutinib to be used cost-effectively within the   Cancer Drugs Fund."
"2530";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=2";"2";"managed access";"0";"                                          constitute an excessive administrative burden on the                                           NHS.                                           The managed access agreement agreed between the                                           company and NHS England will replace this patient                                           access scheme. The terms of this agreement are"
"2534";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=20";"20";"managed access";"0";"                                  within the Cancer Drugs Fund for treating                                   Waldenstrom’s macroglobulinaemia provided                                   that a managed access agreement was in                                   place that allowed ibrutinib to be used cost-                                   effectively within the Cancer Drugs Fund."
"2535";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=20";"20";"managed access";"0";"                                  level of the discount increased during the                                   appraisal and is commercial in confidence.                                   The managed access agreement agreed                                   between the company and NHS England will                                   replace this patient access scheme. The"
"2536";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=21";"21";"managed access";"0";"5.1            When NICE recommends a treatment as an option for use within the                Cancer Drugs Fund, NHS England will make it available within the                conditions of the managed access agreement. This means that, if a                patient has Waldenstrom’s macroglobulinaemia and the doctor                responsible for their care thinks that ibrutinib is the right treatment, it"
"2537";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=21";"21";"managed access";"0";"               responsible for their care thinks that ibrutinib is the right treatment, it                should be available for use, in line with NICE's recommendations and the                Cancer Drugs Fund criteria in the managed access agreement. Further                information can be found in NHS England's Appraisal and Funding of                Cancer Drugs from July 2016 (including the new Cancer Drugs Fund) – A"
"2538";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=21";"21";"managed access";"0";"               new deal for patients, taxpayers and industry. 5.2            Ibrutinib has been recommended according to the conditions in the                managed access agreement. As part of this, NHS England and Janssen                have agreed a commercial access agreement that makes ibrutinib                available to the NHS at a reduced cost. The financial terms of the"
"2539";"TA491";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA491/documents/final-appraisal-determination-document#page=21";"21";"managed access";"0";"               to [NICE to add details at time of publication] 6              Recommendation for data collection 6.1            As a condition of the positive recommendation and the managed access                arrangement, the company is required to collect updated efficacy data                from the PCYC-1118E and iNNOVATE studies."
